Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Debt to equity,Return on equity,Sales growth 5Years,Profit growth 5Years,Promoter holding,Change in promoter holding 3Years,Pledged percentage,Dividend yield,Price to book value
Tata Elxsi,500408,TATAELXSI,INE670A01012,IT - Software,Computers - Software & Consulting,4469.25,27841.98,44.17,0.06,29.27,18.29,24.68,43.90,-0.02,0.00,1.70,10.28
Tata Inv.Corpn.,501301,TATAINVEST,INE672A01026,Finance,Investment Company,635.95,32176.13,78.97,0.00,1.02,16.27,28.08,73.38,0.00,0.00,0.43,1.00
Tata Motors,544569,TMCV,INE1TAE01010,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,428.15,157658.97,346.21,0.57,-400.00,,,42.56,,0.00,0.00,
Tata Motors PVeh,500570,TMPV,INE155A01022,Automobiles,Passenger Cars & Utility Vehicles,337.15,124151.39,20.68,0.61,28.08,10.99,37.20,42.56,-3.83,0.00,1.76,1.11
Tata Power Co.,500400,TATAPOWER,INE245A01021,Power,Integrated Power Utilities,395.30,126311.78,33.41,1.86,10.97,17.58,45.54,46.86,0.00,0.00,0.56,3.35
Tata Steel,500470,TATASTEEL,INE081A01020,Ferrous Metals,Iron & Steel,205.85,256973.39,26.25,1.01,3.89,9.34,77.21,33.19,-0.71,0.00,1.75,2.72
Tata Technolog.,544028,TATATECH,INE142M01025,IT - Services,IT Enabled Services,562.25,22826.20,34.80,0.07,19.91,12.63,21.37,55.21,,0.00,1.49,6.36
Tata Tele. Mah.,532371,TTML,INE517B01013,Telecom - Services,Telecom - Cellular & Fixed line services,40.88,7991.74,,,,3.95,0.34,74.36,0.00,0.00,0.00,
Tatva Chintan,543321,TATVA,INE0GK401011,Chemicals & Petrochemicals,Specialty Chemicals,1191.90,2788.08,85.09,0.11,0.78,7.77,-31.41,72.02,-7.15,0.00,0.08,3.70
TBO Tek,544174,TBOTEK,INE673O01025,Leisure Services,"Tour, Travel Related Services",1146.55,12450.15,53.29,0.52,24.62,24.94,24.26,44.41,,0.00,0.00,8.97
TCC Concept,512038,TCC,INE887D01016,Retailing,Internet & Catalogue Retail,364.40,1731.91,34.02,0.05,9.28,,,45.69,-23.39,0.00,0.00,2.37
TCI Express,540212,TCIEXP,INE586V01016,Transport Services,Logistics Solution Provider,542.70,2085.02,23.23,0.01,11.96,3.20,-0.26,69.46,2.59,0.00,1.46,2.54
TCPL Packaging,523301,TCPLPACK,INE822C01015,Industrial Products,Packaging,2480.00,2256.80,18.98,0.97,23.84,13.78,30.97,55.74,0.00,0.00,1.21,3.35
TCS,532540,TCS,INE467B01029,IT - Software,Computers - Software & Consulting,2595.45,939056.50,18.40,0.10,52.38,10.22,8.48,71.77,-0.53,0.00,2.30,8.79
TD Power Systems,533553,TDPOWERSYS,INE419M01027,Electrical Equipment,Heavy Electrical Equipment,888.05,13872.67,63.17,0.04,22.31,19.95,55.63,26.87,-31.58,0.00,0.14,14.39
