Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Debt to equity,Return on equity,Sales growth 5Years,Profit growth 5Years,Promoter holding,Change in promoter holding 3Years,Pledged percentage,Dividend yield,Price to book value
Creative Newtech,544631,CNL,INE985W01018,Commercial Services & Supplies,Trading & Distributors,600.40,901.58,13.61,0.39,18.13,31.27,42.81,56.62,-6.86,0.00,0.08,2.79
CreditAcc. Gram.,541770,CREDITACC,INE741K01010,Finance,Microfinance Institutions,1238.40,19838.66,40.80,2.81,7.86,27.86,10.16,66.28,-7.43,0.00,0.00,2.82
Credo Brands,544058,MUFTI,INE220Q01020,Retailing,Speciality Retail,78.10,510.53,10.84,0.58,18.41,6.56,33.73,55.01,,0.00,3.84,1.25
Crest Ventures,511413,CREST,INE559D01011,Finance,Non Banking Financial Company (NBFC),343.90,978.40,20.52,0.16,7.70,25.04,14.34,69.75,0.86,0.00,0.29,0.77
CRISIL,500092,CRISIL,INE007A01025,Finance,Other Financial Services,4015.10,29362.40,42.84,0.10,24.46,12.99,14.40,66.64,-0.06,0.00,0.91,9.69
Crizac,544439,CRIZAC,INE0S4R01014,Retailing,Internet & Catalogue Retail,214.40,3751.65,19.37,0.00,36.27,,,79.94,,0.00,3.72,6.24
Crompton Gr. Con,539876,CROMPTON,INE299U01018,Consumer Durables,Household Appliances,240.50,15486.16,31.62,0.05,17.40,11.71,2.29,0.00,0.00,0.00,1.22,4.59
Cropster Agro,523105,,INE293E01031,Industrial Products,Packaging,7.23,607.32,39.10,0.00,15.61,,193.69,0.00,0.00,0.00,0.00,5.24
CSB Bank,542867,CSBBANK,INE679A01013,Banks,Private Sector Bank,397.60,6897.80,11.10,9.36,14.31,18.96,113.60,40.00,-9.72,0.00,0.00,1.46
CSL Finance,530067,CSLFINANCE,INE718F01018,Finance,Non Banking Financial Company (NBFC),242.30,552.03,6.45,1.37,14.21,28.76,26.31,47.56,-3.77,0.00,1.22,0.95
Cube Highways,543899,CUBEINVIT,INE0NR623014,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",148.00,19892.23,993.62,1.68,-0.68,,,41.40,,50.26,6.89,1.87
Cummins India,500480,CUMMINSIND,INE298A01020,Industrial Products,"Compressors, Pumps & Diesel Engines",4870.00,134996.31,58.00,0.00,28.15,14.89,22.45,51.00,0.00,0.00,1.05,17.06
Cupid,530843,CUPID,INE509F01029,Personal Products,Personal Care,92.59,12450.28,149.05,0.07,12.89,2.70,0.89,46.03,0.97,24.79,0.00,32.69
CWD,543378,,INE0H8H01019,Consumer Durables,Consumer Electronics,275.00,610.75,71.69,0.59,5.78,61.23,37.54,58.77,-13.52,0.00,0.00,5.74
Cyient,532175,CYIENT,INE136B01020,IT - Services,IT Enabled Services,882.50,9806.97,17.56,0.08,12.81,10.70,12.34,23.29,-0.07,0.00,2.96,1.79
Cyient DLM,543933,CYIENTDLM,INE055S01018,Industrial Manufacturing,Industrial Products,314.60,2496.86,30.54,0.21,7.33,,,52.12,,0.00,0.00,2.55
D B Corp,533151,DBCORP,INE950I01011,Media,Print Media,212.50,3787.74,11.78,0.13,16.73,1.02,6.08,74.25,2.26,0.00,5.67,1.63
D-Link India,533146,DLINKINDIA,INE250K01012,IT - Hardware,Computers Hardware & Equipments,419.60,1489.77,14.36,0.02,21.31,13.33,25.24,51.02,0.00,0.00,4.74,3.13
D.P. Abhushan,544161,DPABHUSHAN,INE266Y01019,Consumer Durables,"Gems, Jewellery And Watches",1132.95,2586.29,13.93,0.42,35.06,32.58,46.52,74.88,0.15,0.00,0.00,5.10
Dabur India,500096,DABUR,INE016A01026,Personal Products,Personal Care,431.15,76472.67,41.15,0.12,17.04,7.66,3.01,66.23,-0.01,0.00,1.88,7.00
Dalmia Bharat,500097,DALMIASUG,INE495A01022,Agricultural Food & other Products,Sugar,367.40,2973.72,8.78,0.17,12.44,12.16,14.10,74.91,0.00,0.00,1.64,0.93
Dalmia BharatLtd,542216,DALBHARAT,INE00R701025,Cement & Cement Products,Cement & Cement Products,1920.00,36012.66,30.10,0.40,4.15,7.64,30.28,55.84,-0.02,0.00,0.48,2.05
Dam Capital Advi,544316,DAMCAPITAL,INE284H01025,Capital Markets,Stockbroking & Allied,142.50,1007.26,12.50,0.01,49.22,39.96,70.15,40.00,,0.00,0.72,3.22
Danish Power,,DANISH,INE0YU901016,Electrical Equipment,Heavy Electrical Equipment,656.00,1291.77,19.29,0.01,28.94,33.00,100.50,73.55,,0.00,0.00,3.72
Data Pattern,543428,DATAPATTNS,INE0IX101010,Aerospace & Defense,Aerospace & Defense,3409.70,19088.85,76.51,0.00,15.18,35.32,59.36,42.41,-3.35,0.00,0.24,12.34
Datamatics Glob.,532528,DATAMATICS,INE365B01017,IT - Services,IT Enabled Services,698.25,4127.10,18.96,0.13,12.49,7.45,17.20,66.33,-4.58,0.00,0.70,2.87
Davangere Sugar,543267,DAVANGERE,INE179G01029,Diversified FMCG,Diversified FMCG,3.74,534.82,62.99,0.40,3.17,1.17,36.67,41.78,-32.67,0.00,0.00,1.09
DC Infotech,543636,DCI,INE0A1101019,IT - Hardware,Computers Hardware & Equipments,366.35,600.80,31.19,0.73,23.61,30.36,51.45,62.20,2.20,0.00,0.00,6.62
DCB Bank,532772,DCBBANK,INE503A01015,Banks,Private Sector Bank,184.00,5923.01,8.43,11.85,11.43,12.84,12.70,16.24,1.39,0.00,0.72,1.00
DCM Shriram,523367,DCMSHRIRAM,INE499A01024,Diversified,Diversified,1113.35,17361.84,24.84,0.30,8.66,9.23,-3.92,66.52,0.00,0.00,0.80,2.38
DCM Shriram Intl,544702,DCMSIL,INE0OU201013,Textiles & Apparels,Other Textile Products,67.92,590.85,11.44,,,,,50.11,,0.00,0.00,
DCW,500117,DCW,INE500A01029,Chemicals & Petrochemicals,Petrochemicals,43.10,1272.11,30.66,0.36,2.91,9.39,25.83,45.28,0.18,3.85,0.23,1.17
DCX Systems,543650,DCXINDIA,INE0KL801015,Aerospace & Defense,Aerospace & Defense,176.85,1969.87,148.24,0.00,3.11,,,52.16,-19.57,0.00,0.00,1.39
DDev Plastiks,543547,DDEVPLSTIK,INE0HR601026,Chemicals & Petrochemicals,Specialty Chemicals,223.40,2311.68,11.61,0.05,24.89,,,75.00,0.16,0.00,0.77,2.51
Dec.Gold Mines,512068,,INE945F01025,Non - Ferrous Metals,Precious Metals,103.81,2054.43,,1.12,-14.19,,,20.84,-5.05,0.00,0.00,10.01
Deccan Cements,502137,DECCANCE,INE583C01021,Cement & Cement Products,Cement & Cement Products,661.35,926.38,29.13,1.02,0.75,-1.04,-38.97,56.25,0.01,0.00,0.09,1.24
DEE Development,544198,DEEDEV,INE841L01016,Industrial Manufacturing,Industrial Products,319.00,2209.51,26.26,0.70,7.00,2.75,26.27,70.18,,0.00,0.00,2.66
Deep Industries,543288,DEEPINDS,INE0FHS01024,Oil,Oil Equipment & Services,446.00,2854.40,12.29,0.11,12.94,17.08,46.38,63.49,0.00,0.00,0.67,1.47
Deepak Fertilis.,500645,DEEPAKFERT,INE501A01019,Chemicals & Petrochemicals,Commodity Chemicals,1051.00,13267.60,15.13,0.68,15.56,17.00,94.55,45.63,0.17,4.86,0.94,2.02
Deepak Nitrite,506401,DEEPAKNTR,INE288B01029,Chemicals & Petrochemicals,Specialty Chemicals,1437.80,19610.64,36.12,0.23,13.36,14.38,2.02,49.33,3.61,0.00,0.53,3.53
Delhivery,543529,DELHIVERY,INE148O01028,Transport Services,Logistics Solution Provider,470.50,35222.10,195.55,0.17,1.52,26.29,19.71,0.00,0.00,0.00,0.00,3.70
Delta Corp,532848,DELTACORP,INE124G01033,Leisure Services,Amusement Parks/ Other Recreation,58.10,1555.74,15.86,0.01,3.45,-1.16,-13.60,34.47,1.16,0.00,2.15,0.68
Den Networks,533137,DEN,INE947J01015,Entertainment,TV Broadcasting & Software Production,27.30,1302.85,6.87,0.01,4.31,-4.88,22.89,74.90,0.00,0.00,0.00,0.34
Denta Water,544345,DENTA,INE0R4L01018,Other Utilities,Water Supply & Management,260.00,694.20,10.61,0.03,18.43,186.13,215.09,71.91,,0.00,0.98,1.60
Devyani Intl.,543330,DEVYANI,INE872J01023,Leisure Services,Restaurants,105.00,12945.89,,2.15,0.54,26.70,15.31,61.37,-1.43,0.00,0.00,8.30
Dhampur Bio,543593,DBOL,INE0I3401014,Agricultural Food & other Products,Sugar,119.30,792.00,33.41,0.58,1.56,,,50.65,0.43,0.00,1.06,0.86
Dhampur Sugar,500119,DHAMPURSUG,INE041A01016,Agricultural Food & other Products,Sugar,136.60,878.43,12.84,0.43,4.44,-10.90,-25.36,49.87,0.79,0.00,0.00,0.80
Dhanlaxmi Bank,532180,DHANBANK,INE680A01011,Banks,Private Sector Bank,26.09,1029.77,11.70,12.75,5.48,5.97,0.19,0.00,0.00,0.00,0.00,0.73
Dhanuka Agritech,507717,DHANUKA,INE435G01025,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,1009.25,4549.52,17.17,0.02,21.95,12.69,15.69,69.71,-0.29,0.00,0.20,2.98
Dharmaj Crop,543687,DHARMAJ,INE00OQ01016,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,261.80,884.82,18.35,0.31,9.28,37.54,26.60,70.40,1.75,0.00,0.00,2.00
Dhenu Buildcon,501945,,INE758D01027,Finance,Non Banking Financial Company (NBFC),8.85,5251.40,3978.34,318.63,-14.34,,8.95,0.04,-11.49,0.00,0.00,1672.43
Dhunseri Vent.,523736,DVL,INE477B01010,Diversified,Diversified,229.65,804.24,,0.17,4.69,49.83,35.89,75.00,0.00,0.00,2.17,0.25
Diamond Power,522163,DIACABS,INE989C01038,Electrical Equipment,Other Electrical Equipment,133.60,7040.30,66.93,,,,,84.02,72.61,0.00,0.00,
Diffusion Eng,544264,DIFFNKG,INE184O01015,Industrial Products,Other Industrial Products,280.35,1049.26,21.91,0.06,11.84,16.82,24.35,69.70,,0.00,0.52,2.74
Digitide Solutio,544413,DIGITIDE,INE0U4701011,IT - Services,IT Enabled Services,90.26,1344.99,41.40,0.51,15.62,,,56.98,,0.00,0.00,1.61
Dilip Buildcon,540047,DBL,INE917M01012,Construction,Civil Construction,432.20,7020.86,10.76,1.80,9.97,3.13,8.08,63.14,-7.01,14.16,0.23,1.22
Disa India,500068,,INE131C01011,Industrial Manufacturing,Industrial Products,12051.05,1752.47,29.22,0.00,21.74,11.46,13.84,74.82,0.00,0.00,1.66,6.40
Dish TV India,532839,DISHTV,INE836F01026,Entertainment,TV Broadcasting & Software Production,3.02,556.06,,,,-15.11,,4.05,0.01,11.64,0.00,
Dishman Carbogen,540701,DCAL,INE385W01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,159.95,2507.72,19.00,0.40,-0.32,5.82,,59.32,0.00,0.00,0.00,0.40
Divgi Torq,543812,DIVGIITTS,INE753U01022,Auto Components,Auto Components & Equipments,670.35,2050.17,55.74,0.00,4.14,6.60,-2.77,60.56,,0.00,0.37,3.36
Divi's Lab.,532488,DIVISLAB,INE361B01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,5946.85,157870.22,62.29,0.01,15.35,11.65,10.41,51.88,-0.06,0.00,0.51,10.25
Divine Power,,DPEL,INE0SCO01019,Industrial Products,Cables - Electricals,473.00,1180.83,125.75,0.82,16.41,,,63.20,,0.00,0.00,11.05
Dixon Technolog.,540699,DIXON,INE935N01020,Consumer Durables,Consumer Electronics,10637.55,64678.21,45.84,0.34,32.85,54.60,44.97,28.83,-5.23,0.00,0.08,15.85
DLF,532868,DLF,INE271C01023,Realty,"Residential, Commercial Projects",566.00,140102.64,32.55,0.04,11.36,5.62,90.95,74.08,-0.87,0.00,1.05,3.27
DMCC Speciality,506405,DMCC,INE505A01010,Chemicals & Petrochemicals,Specialty Chemicals,218.80,545.67,20.88,0.17,9.97,18.11,-7.13,53.84,0.00,0.00,1.14,2.34
Dodla Dairy,543306,DODLA,INE021O01019,Food Products,Dairy Products,1041.10,6280.73,23.19,0.04,19.83,11.70,38.71,58.92,-3.29,0.00,0.46,4.13
Dolat Algotech,505526,DOLATALGO,INE966A01022,Capital Markets,Stockbroking & Allied,76.83,1352.22,11.09,0.19,24.00,27.42,24.84,74.49,0.00,0.00,0.33,1.28
Dollar Industrie,541403,DOLLAR,INE325C01035,Textiles & Apparels,Garments & Apparels,249.60,1415.64,13.79,0.34,10.56,11.71,8.01,72.21,-0.70,0.00,1.19,1.56
Dolphin Offshore,522261,DOLPHIN,INE920A01037,Oil,Offshore Support Solution Drilling,403.60,1614.58,31.88,0.64,18.69,,,74.99,20.16,0.00,0.00,5.33
DOMS Industries,544045,DOMS,INE321T01012,Household Products,Stationary,2388.50,14495.45,65.29,0.15,22.29,23.94,41.24,70.39,,0.00,0.13,13.23
Dr Agarwal's Eye,526783,,INE934C01018,Healthcare Services,Hospital,4896.00,2366.16,33.88,1.06,29.50,17.68,32.05,72.67,0.78,29.26,0.12,7.53
Dr Agarwal's Hea,544350,AGARWALEYE,INE943P01029,Healthcare Services,Hospital,443.40,14047.24,110.25,0.51,4.76,26.38,41.72,32.39,,0.00,0.00,7.30
Dr Lal Pathlabs,539524,LALPATHLAB,INE600L01024,Healthcare Services,Healthcare Service Provider,1400.40,23464.42,42.76,0.07,24.30,13.09,16.69,53.21,-1.84,0.00,0.87,9.82
Dr Reddy's Labs,500124,DRREDDY,INE089A01031,Pharmaceuticals & Biotechnology,Pharmaceuticals,1211.65,101131.16,18.22,0.16,17.96,13.26,22.28,26.64,-0.06,0.00,0.67,2.80
Dredging Corpn.,523618,DREDGECORP,INE506A01018,Engineering Services,Dredging,884.15,2475.62,,0.95,-3.67,8.78,,73.47,0.00,0.00,0.00,2.18
Dwarikesh Sugar,532610,DWARKESH,INE366A01041,Agricultural Food & other Products,Sugar,44.81,830.31,41.99,0.23,2.86,0.34,-20.52,42.10,0.01,0.00,1.09,1.12
Dynacons Sys.,532365,DSSL,INE417B01040,IT - Services,IT Enabled Services,997.10,1269.97,15.18,0.64,37.28,31.03,63.91,60.95,-0.15,0.00,0.05,4.65
Dynamatic Tech.,505242,DYNAMATECH,INE221B01012,Industrial Manufacturing,Industrial Products,10087.95,6851.17,146.34,0.78,6.21,2.68,1.91,41.87,-2.97,0.00,0.05,8.38
Dynamic Cables,540795,DYCL,INE600Y01019,Industrial Products,Cables - Electricals,295.65,1432.66,17.10,0.19,22.07,19.06,28.99,68.18,-6.23,0.00,0.08,3.50
E2E Networks,,E2E,INE255Z01019,IT - Services,IT Enabled Services,2451.00,5038.39,,0.10,5.71,45.55,44.66,40.30,-19.41,0.00,0.00,3.15
Easy Trip Plann.,543272,EASEMYTRIP,INE07O001026,Leisure Services,"Tour, Travel Related Services",8.00,2909.48,110.74,0.04,16.21,32.96,27.61,47.73,-27.17,26.14,0.00,3.32
eClerx Services,532927,ECLERX,INE738I01010,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),1499.00,14098.24,21.04,0.15,22.80,18.55,19.96,54.52,0.91,0.00,0.03,5.37
Eco Recyc.,530643,,INE316A01038,Other Utilities,Waste Management,412.95,796.86,45.34,0.07,84.05,29.24,111.97,73.35,0.20,0.00,0.00,7.86
Ecos (India),544239,ECOSMOBLTY,INE06HJ01020,Transport Services,Road Transport,126.85,761.10,12.85,0.03,28.31,9.16,112.58,67.79,,0.00,1.85,3.27
Edelweiss.Fin.,532922,EDELWEISS,INE532F01054,Finance,Holding Company,116.00,10979.72,18.59,4.40,8.68,-0.21,17.03,32.69,0.07,0.00,1.29,2.49
EFC (I),512008,EFCIL,INE886D01026,Commercial Services & Supplies,Diversified Commercial Services,198.95,2731.22,14.85,1.77,23.27,,,60.44,-6.59,0.00,0.00,4.40
Effwa Infra,,EFFWA,INE0U9101019,Other Utilities,Waste Management,224.10,518.73,20.34,0.14,30.44,,,73.03,,0.00,0.00,4.94
Eicher Motors,505200,EICHERMOT,INE066A01021,Automobiles,2/3 Wheelers,7134.25,195702.57,36.25,0.02,24.10,15.57,20.98,49.06,-0.15,0.00,0.99,8.87
EID Parry,500125,EIDPARRY,INE126A01031,Food Products,Other Food Products,845.10,15032.02,14.28,0.31,9.54,13.04,8.84,41.44,-3.10,0.00,0.00,1.71
EIH,500840,EIHOTEL,INE230A01023,Leisure Services,Hotels & Resorts,308.85,19314.38,25.49,0.05,17.95,11.44,38.17,32.85,-2.89,0.00,0.49,4.13
EIH Assoc.Hotels,523127,EIHAHOTELS,INE276C01014,Leisure Services,Hotels & Resorts,313.80,1912.15,19.38,0.01,19.24,10.39,18.84,75.00,0.00,0.00,1.12,3.63
Eimco Elecon(I),523708,EIMCOELECO,INE158B01016,Industrial Manufacturing,Industrial Products,1755.00,1012.63,21.43,0.00,11.80,17.96,38.73,48.96,-25.10,0.00,0.29,2.27
Elantas Beck,500123,,INE280B01018,Chemicals & Petrochemicals,Specialty Chemicals,8895.95,7052.43,47.72,0.00,15.76,17.22,19.12,75.00,0.00,0.00,0.08,6.99
Elcid Investment,503681,,INE927X01018,Finance,Investment Company,100900.05,2018.00,15.53,0.00,1.47,22.19,15.89,75.00,0.00,0.00,0.03,0.18
Eldeco Housing,523329,ELDEHSG,INE668G01021,Realty,"Residential, Commercial Projects",815.30,801.68,35.36,0.27,5.70,0.75,-11.30,54.83,0.00,0.00,1.11,2.05
Elecon Engg.Co,505700,ELECON,INE205B01031,Electrical Equipment,Heavy Electrical Equipment,424.75,9531.38,23.03,0.11,22.96,15.39,35.57,59.27,-0.02,0.00,0.47,4.26
Electronics Mart,543626,EMIL,INE02YR01019,Retailing,Diversified Retail,101.42,3902.12,42.36,1.26,11.08,17.03,13.04,65.17,-12.80,0.00,0.00,2.53
Electrost.Cast.,500128,ELECTCAST,INE086A01029,Industrial Products,Iron & Steel Products,84.53,5225.50,14.84,0.38,13.15,21.98,31.82,46.22,2.14,11.44,1.71,0.88
Electrotherm(I),526608,ELECTHERM,INE822G01016,Industrial Products,Iron & Steel Products,675.70,861.02,17.41,,,5.08,176.21,29.90,-1.14,7.87,0.00,
Elgi Equipments,522074,ELGIEQUIP,INE285A01027,Industrial Products,"Compressors, Pumps & Diesel Engines",501.05,15878.75,38.30,0.26,20.06,13.92,52.48,31.19,0.00,0.88,0.44,7.88
Elin Electronics,543725,ELIN,INE050401020,Consumer Durables,Household Appliances,116.12,577.24,14.00,0.03,4.38,8.48,4.29,32.98,0.05,0.00,0.00,1.06
Elitecon Inter.,539533,,INE669R01026,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,40.15,6417.93,20.03,1.09,43.47,,,59.43,-31.06,0.00,0.14,18.55
Ellen.Indl.Gas,544421,ELLEN,INE236E01022,Chemicals & Petrochemicals,Industrial Gases,223.90,3155.54,31.59,0.13,17.76,12.39,-2.05,77.16,,0.00,0.00,3.38
Elpro Internatio,504000,,INE579B01039,Realty,"Residential, Commercial Projects",93.68,1587.65,8.51,0.51,3.14,28.87,32.64,75.00,0.01,0.00,0.74,0.77
Emami,531162,EMAMILTD,INE548C01032,Personal Products,Personal Care,420.00,18333.02,22.81,0.02,30.18,7.49,21.30,54.84,0.57,11.60,2.43,6.23
Embassy Develop,532832,EMBDL,INE069I01010,Realty,"Residential, Commercial Projects",52.71,7330.03,,0.46,2.53,-7.79,-7.08,42.65,42.65,47.75,0.00,0.71
Embassy Off.REIT,542602,EMBASSY,INE041025011,Realty,Real Estate Investment Trusts (REITs),441.40,41840.05,106.63,0.96,7.05,13.48,17.14,7.69,-28.08,0.00,0.14,1.85
Emcure Pharma,544210,EMCURE,INE168P01015,Pharmaceuticals & Biotechnology,Pharmaceuticals,1605.30,30434.87,33.69,0.35,18.51,9.36,36.18,77.87,,0.04,0.19,6.44
Emk.Global Fin.,532737,EMKAY,INE296H01011,Capital Markets,Stockbroking & Allied,215.50,564.37,31.28,0.27,20.90,21.78,45.71,71.91,-2.58,0.00,0.66,1.85
Emkay Tools,,ETL,INE0PXC01024,Industrial Manufacturing,Industrial Products,940.00,1003.10,20.51,0.00,53.24,,,74.99,,0.00,0.27,9.53
Emmvee Photovol.,544608,EMMVEE,INE1C6T01020,Electrical Equipment,Other Electrical Equipment,222.35,15394.26,28.81,2.15,104.58,33.28,93.47,80.03,,0.00,0.00,16.13
Empire Inds.,509525,,INE515H01014,Diversified,Diversified,880.00,528.00,14.27,0.56,11.14,3.33,-0.24,72.55,0.00,0.00,2.85,1.62
EMS,543983,EMSLIMITED,INE0OV601013,Other Utilities,Waste Management,307.95,1710.10,13.01,0.16,20.69,24.29,20.44,69.71,-30.29,21.95,0.51,1.61
eMudhra,543533,EMUDHRA,INE01QM01018,IT - Services,IT Enabled Services,478.00,3958.39,38.55,0.02,12.08,34.86,38.43,54.40,-6.63,0.00,0.26,4.88
Endurance Tech.,540153,ENDURANCE,INE913H01037,Auto Components,Auto Components & Equipments,2359.65,33191.50,35.86,0.20,14.63,10.83,7.19,75.00,0.00,0.00,0.42,5.29
Energy InfrTrust,542543,,INE05KD23015,Gas,Gas Transmission/Marketing,80.20,5325.28,60.09,7.16,0.46,10.39,15.31,,,,19.03,5.88
Engineers India,532178,ENGINERSIN,INE510A01028,Construction,Civil Construction,209.00,11746.67,15.10,0.01,23.17,-0.94,6.16,51.32,0.00,0.00,1.95,4.33
Enkei Wheels,533477,,INE130L01014,Auto Components,Auto Components & Equipments,401.80,722.23,73.52,0.88,4.13,32.80,18.27,74.97,0.00,0.00,0.00,3.01
Ent.Network,532700,ENIL,INE265F01028,Entertainment,Media & Entertainment,108.00,514.84,122.87,0.23,0.82,-0.15,-4.52,71.15,0.00,0.00,1.85,0.69
Entero Healthcar,544122,ENTERO,INE010601016,Retailing,Pharmacy Retail,1180.85,5137.98,44.18,0.25,5.63,30.44,151.54,52.42,,0.00,0.00,2.89
Enviro Infra,544290,EIEL,INE0LLY01014,Other Utilities,Water Supply & Management,172.60,3029.67,14.39,0.26,27.39,58.15,101.61,70.13,,0.00,0.00,2.65
Epack Durable,544095,EPACK,INE0G5901015,Consumer Durables,Household Appliances,240.35,2312.87,56.49,0.76,5.98,,,47.18,,3.85,0.00,2.39
EPack PrefabTech,544540,EPACKPEB,INE0MLS01022,Industrial Manufacturing,Industrial Products,179.55,1806.57,21.95,0.32,22.77,35.85,40.67,65.06,,0.00,0.00,2.62
Epigral,543332,EPIGRAL,INE071N01016,Chemicals & Petrochemicals,Specialty Chemicals,1045.35,4509.79,13.35,0.26,22.30,33.10,25.81,68.83,-2.38,0.00,0.57,2.18
EPL Ltd,500135,EPL,INE255A01020,Industrial Products,Packaging,229.55,7351.23,17.82,0.32,16.27,8.82,11.09,26.38,-25.15,0.00,2.16,2.84
Equitas Sma. Fin,543243,EQUITASBNK,INE063P01018,Banks,Other Bank,60.03,6851.10,,8.12,2.43,19.00,-9.68,0.00,-74.48,0.00,0.00,1.17
Eraaya Lifespace,531035,,INE432F01032,Automobiles,2/3 Wheelers,25.24,521.71,,17.75,-808.66,,,38.40,-34.62,0.00,0.00,6.35
ERIS Lifescience,540596,ERIS,INE406M01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,1372.10,19009.48,42.82,0.77,12.88,21.92,3.71,54.85,2.15,16.92,0.54,6.07
Esab India,500133,ESABINDIA,INE284A01012,Industrial Products,Other Industrial Products,5416.10,8337.02,42.60,0.01,52.34,14.50,19.74,73.72,0.00,0.00,1.21,20.01
ESAF Small Fin,544020,ESAFSFB,INE818W01011,Banks,Other Bank,23.76,1225.19,,14.30,-23.49,22.27,,63.30,,0.00,0.00,0.70
Escorts Kubota,500495,ESCORTS,INE042A01014,"Agricultural, Commercial & Construction Vehicles",Tractors,3117.90,34882.39,26.82,0.01,12.80,12.01,21.49,68.04,-4.86,0.00,0.91,2.91
Essar Shipping,533704,ESSARSHPNG,INE122M01019,Transport Services,Shipping,25.20,521.61,,,,-62.28,14.55,73.75,-0.62,0.00,0.00,
Ester Industries,500136,ESTER,INE778B01029,Industrial Products,Packaging,88.47,863.36,,0.93,1.78,,,62.71,-1.33,0.00,0.66,1.10
Eternal,543320,ETERNAL,INE758T01015,Retailing,E-Retail/ E-Commerce,238.85,230498.61,997.80,0.11,1.71,50.70,16.94,0.00,0.00,0.00,0.00,7.49
Ethos,543532,ETHOSLTD,INE04TZ01018,Consumer Durables,"Gems, Jewellery And Watches",2438.40,6524.60,67.08,0.22,10.36,22.28,120.26,50.58,-14.10,0.00,0.00,4.54
Eureka Forbes,543482,EUREKAFORB,INE0KCE01017,Consumer Durables,Household Appliances,475.10,9188.61,47.02,0.02,3.69,172.07,182.53,62.56,-10.67,53.66,0.00,2.03
Euro India Fresh,,EIFFL,INE546V01010,Food Products,Packaged Foods,240.07,595.37,204.60,0.85,8.05,9.15,74.11,73.50,0.00,0.00,0.00,8.27
Euro Pratik Sale,544519,EUROPRATIK,INE198501012,Consumer Durables,"Furniture, Home Furnishing",231.05,2361.30,32.19,0.08,39.36,,,70.09,,0.00,0.09,8.86
Eveready Inds.,531508,EVEREADY,INE128A01029,Household Products,Household Products,288.60,2097.76,27.78,0.75,19.48,1.94,10.47,43.21,-0.01,0.01,0.51,4.44
Everest Inds.,508906,EVERESTIND,INE295A01018,Other Construction Materials,Other Construction Materials,335.30,531.64,,0.54,-1.10,6.03,,50.22,-0.22,0.00,0.74,0.93
Everest Kanto,532684,EKC,INE184H01027,Industrial Manufacturing,Industrial Products,110.72,1242.34,10.52,0.15,8.92,14.54,90.50,67.39,0.00,0.00,0.62,1.00
Excel Industries,500650,EXCELINDUS,INE369A01029,Chemicals & Petrochemicals,Specialty Chemicals,922.00,1159.02,15.30,0.01,5.21,6.84,-3.95,52.69,0.09,0.00,1.48,0.65
Excelsoft Tech.,544617,EXCELSOFT,INE606N01019,IT - Services,IT Enabled Services,85.79,987.31,25.86,0.12,10.38,17.66,54.74,59.09,,0.00,0.00,2.55
Exhicon Events,543895,,INE0O8901016,Other Consumer Services,Other Consumer Services,469.00,692.55,18.65,0.05,26.63,,,55.33,,0.00,0.03,4.10
Exicom Tele-Sys.,544133,EXICOM,INE777F01014,Electrical Equipment,Heavy Electrical Equipment,100.23,1394.00,,0.78,-16.48,,,66.48,,2.78,0.00,1.89
Exide Inds.,500086,EXIDEIND,INE302A01020,Auto Components,Auto Components & Equipments,310.35,26379.75,31.70,0.11,5.74,3.56,-0.45,45.99,0.00,0.00,0.64,1.78
Expleo Solutions,533121,EXPLEOSOL,INE201K01015,IT - Services,IT Enabled Services,775.50,1203.55,10.28,0.03,16.26,30.55,20.52,71.05,14.88,0.00,6.45,1.71
F A C T,590024,FACT,INE188A01015,Fertilizers & Agrochemicals,Fertilizers,848.95,54933.25,3709.20,2.79,1.61,7.90,44.61,90.00,0.00,0.00,0.02,39.98
Fabtech Tech.,544558,FABTECH,INE0HF201011,Healthcare Services,"Healthcare Research, Analytics & Technology",152.45,677.67,122.10,0.22,20.78,19.61,20.66,68.94,,0.00,0.00,3.48
Fairchem Organic,543252,FAIRCHEMOR,INE0DNW01011,Chemicals & Petrochemicals,Specialty Chemicals,522.85,680.80,214.76,0.19,7.51,11.91,-8.66,63.26,4.38,0.00,1.44,2.31
Faze Three,530079,FAZE3Q,INE963C01033,Textiles & Apparels,Other Textile Products,455.00,1106.52,35.24,0.55,8.69,17.95,13.90,57.95,6.42,0.00,0.00,2.60
FDC,531599,FDC,INE258B01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,344.05,5601.49,24.12,0.01,11.83,9.46,1.92,69.66,0.16,0.00,1.46,2.29
Fedbank Financi.,544027,FEDFINA,INE007N01010,Finance,Non Banking Financial Company (NBFC),141.30,5287.52,16.80,3.83,9.38,34.41,41.84,60.81,,0.00,0.00,1.93
